,cluster_id,time,seqlength,coh_cluster
0,0,0.15245,302,0
1,0,0.15245,305,0
2,0,0.15245,271,0
3,0,0.15245,232,0
4,0,0.15245,193,0
5,0,0.15245,377,0
6,0,0.15245,247,0
7,0,0.15245,399,0
8,0,0.15245,167,0
9,0,0.15245,306,0
10,0,0.15245,327,0
11,0,0.15245,351,0
12,0,0.15245,528,0
13,0,0.15245,176,0
14,0,0.15245,230,0
15,0,0.15245,494,0
16,0,0.15245,275,0
17,0,0.15245,312,0
18,0,0.15245,307,0
19,0,0.15245,200,0
20,0,0.15245,239,0
21,0,0.15245,365,0
22,0,0.15245,374,0
23,0,0.15245,238,0
24,0,0.15245,295,0
25,0,0.15245,434,0
26,0,0.15245,353,0
27,0,0.15245,284,0
28,0,0.15245,254,0
29,0,0.15245,270,0
30,0,0.15245,338,0
31,0,0.15245,291,0
32,0,0.15245,309,0
33,0,0.15245,366,0
34,0,0.15245,337,0
35,0,0.15245,291,0
36,0,0.15245,292,0
37,0,0.15245,275,0
38,0,0.15245,255,0
39,0,0.15245,311,0
40,0,0.15245,386,0
41,0,0.15245,382,0
42,0,0.15245,433,0
43,0,0.15245,284,0
44,0,0.15245,281,0
45,0,0.15245,402,0
46,0,0.15245,264,0
47,0,0.15245,380,0
48,0,0.15245,210,0
49,0,0.15245,346,0
50,0,0.15245,275,0
51,0,0.15245,314,0
52,0,0.15245,379,0
53,0,0.15245,449,0
54,0,0.15245,307,0
55,0,0.15245,429,0
56,0,0.15245,423,0
57,0,0.15245,297,0
58,0,0.15245,236,0
59,0,0.15245,288,0
60,0,0.15245,275,0
61,0,0.15245,310,0
62,0,0.15245,274,0
63,0,0.15245,256,0
64,0,0.15245,467,0
65,0,0.15245,290,0
66,0,0.15245,291,0
67,0,0.15245,131,0
68,0,0.15245,328,0
69,0,0.15245,289,0
70,0,0.15245,286,0
71,0,0.15245,275,0
72,0,0.15245,242,0
73,0,0.15245,300,0
74,0,0.15245,312,0
75,0,0.15245,234,0
76,0,0.15245,433,0
77,0,0.15245,300,0
78,0,0.15245,300,0
79,0,0.15245,339,0
80,0,0.15245,430,0
81,0,0.15245,349,0
82,0,0.15245,309,0
83,0,0.15245,298,0
84,0,0.15245,283,0
85,0,0.15245,227,0
86,0,0.15245,293,0
87,0,0.15245,251,0
88,0,0.15245,259,0
89,0,0.15245,363,0
90,0,0.15245,264,0
91,0,0.15245,295,0
92,0,0.15245,311,0
93,0,0.15245,350,0
94,0,0.15245,260,0
95,0,0.15245,265,0
96,0,0.15245,320,0
97,0,0.15245,458,0
98,0,0.15245,332,0
99,0,0.15245,353,0
100,0,0.15245,375,0
101,0,0.15245,432,0
102,0,0.15245,398,0
103,0,0.15245,363,0
104,0,0.15245,214,0
105,0,0.15245,216,0
106,0,0.15245,329,0
107,0,0.15245,290,0
108,0,0.15245,344,0
109,0,0.15245,174,0
110,0,0.15245,244,0
111,0,0.15245,305,0
112,0,0.15245,259,0
113,0,0.15245,361,0
114,0,0.15245,469,0
115,0,0.15245,232,0
116,0,0.15245,383,0
117,0,0.15245,222,0
118,0,0.15245,263,0
119,0,0.15245,442,0
120,0,0.15245,315,0
121,0,0.15245,236,0
122,0,0.15245,280,0
123,0,0.15245,340,0
124,0,0.15245,282,0
125,0,0.15245,398,0
126,0,0.15245,215,0
127,0,0.15245,336,0
128,0,0.15245,255,0
129,0,0.15245,345,0
130,0,0.15245,196,0
131,0,0.15245,298,0
132,0,0.15245,379,0
133,0,0.15245,396,0
134,0,0.15245,241,0
135,0,0.15245,266,0
136,0,0.15245,219,0
137,0,0.15245,371,0
138,0,0.15245,472,0
139,0,0.15245,222,0
140,0,0.15245,304,0
141,0,0.15245,285,0
142,0,0.15245,300,0
143,0,0.15245,253,0
144,0,0.15245,263,0
145,0,0.15245,328,0
146,0,0.15245,420,0
147,0,0.15245,400,0
148,0,0.15245,421,0
149,0,0.15245,336,0
150,0,0.15245,288,0
151,0,0.15245,469,0
152,0,0.15245,254,0
153,0,0.15245,366,0
154,0,0.15245,378,0
155,0,0.15245,392,0
156,0,0.15245,223,0
157,0,0.15245,302,0
158,0,0.15245,311,0
159,0,0.15245,294,0
160,0,0.15245,304,0
161,0,0.15245,423,0
162,0,0.15245,244,0
163,0,0.15245,215,0
164,0,0.15245,371,0
165,0,0.15245,355,0
166,0,0.15245,262,0
167,0,0.15245,258,0
168,0,0.15245,243,0
169,0,0.15245,266,0
170,0,0.15245,388,0
171,0,0.15245,439,0
172,0,0.15245,409,0
173,0,0.15245,216,0
174,0,0.15245,453,0
175,0,0.15245,363,0
176,0,0.15245,318,0
177,0,0.15245,413,0
178,0,0.15245,310,0
179,0,0.15245,436,0
180,0,0.15245,392,0
181,0,0.15245,248,0
182,0,0.15245,270,0
183,0,0.15245,380,0
184,0,0.15245,247,0
185,0,0.15245,208,0
186,0,0.15245,299,0
187,0,0.15245,443,0
188,0,0.15245,287,0
189,0,0.15245,263,0
190,0,0.15245,335,0
191,0,0.15245,389,0
192,0,0.15245,346,0
193,0,0.15245,405,0
194,0,0.15245,214,0
195,0,0.15245,340,0
196,0,0.15245,240,0
197,0,0.15245,297,0
198,0,0.15245,255,0
199,0,0.15245,352,0
200,0,0.15245,466,0
201,0,0.15245,242,0
202,0,0.15245,351,0
203,0,0.15245,174,0
204,0,0.15245,280,0
205,0,0.15245,344,0
206,0,0.15245,292,0
207,0,0.15245,346,0
208,0,0.15245,225,0
209,0,0.15245,329,0
210,0,0.15245,335,0
211,0,0.15245,316,0
212,0,0.15245,266,0
213,0,0.15245,390,0
214,0,0.15245,214,0
215,0,0.15245,278,0
216,0,0.15245,237,0
217,0,0.15245,310,0
218,0,0.15245,273,0
219,0,0.15245,268,0
220,0,0.15245,437,0
221,0,0.15245,259,0
222,0,0.15245,201,0
223,0,0.15245,435,0
224,0,0.15245,320,0
225,0,0.15245,260,0
226,0,0.15245,223,0
227,0,0.15245,285,0
228,0,0.15245,164,0
229,0,0.15245,239,0
230,0,0.15245,148,0
231,0,0.15245,332,0
232,0,0.15245,406,0
233,0,0.15245,283,0
234,0,0.15245,499,0
235,0,0.15245,289,0
236,0,0.15245,512,0
237,0,0.15245,308,0
238,0,0.15245,332,0
239,0,0.15245,215,0
240,0,0.15245,204,0
241,0,0.15245,379,0
242,0,0.15245,217,0
243,0,0.15245,201,0
244,0,0.15245,318,0
245,0,0.15245,373,0
246,0,0.15245,348,0
247,0,0.15245,282,0
248,0,0.15245,272,0
249,0,0.15245,338,0
250,0,0.15245,317,0
251,0,0.15245,329,0
252,0,0.15245,334,0
253,0,0.15245,461,0
254,0,0.15245,264,0
255,0,0.15245,270,0
256,0,0.15245,182,0
257,0,0.15245,249,0
258,0,0.15245,353,0
259,0,0.15245,473,0
260,0,0.15245,320,0
261,0,0.15245,276,0
262,0,0.15245,271,0
263,0,0.15245,306,0
264,0,0.15245,415,0
265,0,0.15245,345,0
266,0,0.15245,364,0
267,0,0.15245,460,0
268,0,0.15245,340,0
269,0,0.15245,337,0
270,0,0.15245,281,0
271,0,0.15245,303,0
272,0,0.15245,375,0
273,0,0.15245,163,0
274,0,0.15245,255,0
275,0,0.15245,236,0
276,0,0.15245,512,0
277,0,0.15245,325,0
278,0,0.15245,224,0
279,0,0.15245,330,0
280,0,0.15245,219,0
281,0,0.15245,240,0
282,0,0.15245,614,0
283,0,0.15245,336,0
284,0,0.15245,370,0
285,0,0.15245,315,0
286,0,0.15245,303,0
287,0,0.15245,317,0
288,0,0.15245,313,0
289,0,0.15245,248,0
290,0,0.15245,287,0
291,0,0.15245,383,0
292,0,0.15245,306,0
293,0,0.15245,193,0
294,0,0.15245,321,0
295,0,0.15245,304,0
296,0,0.15245,267,0
297,0,0.15245,312,0
298,0,0.15245,234,0
299,0,0.15245,362,0
300,0,0.15245,287,0
301,0,0.15245,228,0
302,0,0.15245,295,0
303,0,0.15245,281,0
304,0,0.15245,265,0
305,0,0.15245,346,0
306,0,0.15245,388,0
307,0,0.15245,426,0
308,0,0.15245,286,0
309,0,0.15245,296,0
310,0,0.15245,371,0
311,0,0.15245,523,0
312,0,0.15245,433,0
313,0,0.15245,243,0
314,0,0.15245,275,0
315,0,0.15245,371,0
316,0,0.15245,243,0
317,0,0.15245,331,0
318,0,0.15245,290,0
319,0,0.15245,321,0
320,0,0.15245,410,0
321,0,0.15245,313,0
322,0,0.15245,349,0
323,0,0.15245,252,0
324,0,0.15245,311,0
325,0,0.15245,319,0
326,0,0.15245,383,0
327,0,0.15245,537,0
328,0,0.15245,424,0
329,0,0.15245,269,0
330,0,0.15245,247,0
331,0,0.15245,296,0
332,0,0.15245,363,0
333,0,0.15245,225,0
334,0,0.15245,225,0
335,0,0.15245,283,0
336,0,0.15245,427,0
337,0,0.15245,235,0
338,0,0.15245,405,0
339,0,0.15245,386,0
340,0,0.15245,364,0
341,0,0.15245,361,0
342,0,0.15245,259,0
343,0,0.15245,329,0
344,0,0.15245,152,0
345,0,0.15245,217,0
346,0,0.15245,188,0
347,0,0.15245,194,0
348,0,0.15245,289,0
349,0,0.15245,429,0
350,0,0.15245,262,0
351,0,0.15245,323,0
352,0,0.15245,252,0
353,0,0.15245,327,0
354,0,0.15245,347,0
355,0,0.15245,308,0
356,0,0.15245,348,0
357,0,0.15245,355,0
358,0,0.15245,337,0
359,0,0.15245,349,0
360,0,0.15245,378,0
361,0,0.15245,282,0
362,0,0.15245,448,0
363,0,0.15245,214,0
364,0,0.15245,501,0
365,0,0.15245,363,0
366,0,0.15245,512,0
367,0,0.15245,380,0
368,0,0.15245,340,0
369,0,0.15245,416,0
370,0,0.15245,442,0
371,0,0.15245,359,0
372,0,0.15245,360,0
373,0,0.15245,247,0
374,0,0.15245,296,0
375,0,0.15245,265,0
376,0,0.15245,277,0
377,0,0.15245,325,0
378,0,0.15245,292,0
379,0,0.15245,317,0
380,0,0.15245,172,0
381,0,0.15245,215,0
382,0,0.15245,304,0
383,0,0.15245,248,0
384,0,0.15245,224,0
385,0,0.15245,194,0
386,0,0.15245,687,0
387,0,0.15245,302,0
388,0,0.15245,395,0
389,0,0.15245,266,0
390,0,0.15245,348,0
391,0,0.15245,490,0
392,0,0.15245,226,0
393,0,0.15245,299,0
394,0,0.15245,224,0
395,0,0.15245,483,0
396,0,0.15245,271,0
397,0,0.15245,201,0
398,0,0.15245,234,0
399,0,0.15245,275,0
400,1,0.15245,136,0
401,1,0.15245,171,0
402,1,0.15245,127,0
403,1,0.15245,160,0
404,1,0.15245,102,0
405,1,0.15245,173,0
406,1,0.15245,225,0
407,1,0.15245,187,0
408,1,0.15245,85,0
409,1,0.15245,154,0
410,1,0.15245,266,0
411,1,0.15245,144,0
412,1,0.15245,82,0
413,1,0.15245,184,0
414,1,0.15245,156,0
415,1,0.15245,212,0
416,1,0.15245,217,0
417,1,0.15245,149,0
418,1,0.15245,127,0
419,1,0.15245,105,0
420,1,0.15245,106,0
421,1,0.15245,128,0
422,1,0.15245,89,0
423,1,0.15245,167,0
424,1,0.15245,189,0
425,1,0.15245,129,0
426,1,0.15245,108,0
427,1,0.15245,103,0
428,1,0.15245,201,0
429,1,0.15245,116,0
430,1,0.15245,124,0
431,1,0.15245,142,0
