,cluster_id,time,seqlength,coh_cluster,kmeans_clusters,kmeans_time,ap_clusters,ap_time,gmm_clusters,gmm_time,dbscan_clusters,dbscan_time
0,0,8.99265,80,1,0,150.74856,1,149.10718,0,160.42567,-1,149.84806
1,0,8.99265,87,1,0,150.74856,3,149.10718,0,160.42567,-1,149.84806
2,0,8.99265,119,1,0,150.74856,32,149.10718,0,160.42567,-1,149.84806
3,0,8.99265,107,1,1,150.74856,19,149.10718,0,160.42567,-1,149.84806
4,0,8.99265,100,1,1,150.74856,36,149.10718,0,160.42567,-1,149.84806
5,0,8.99265,82,1,1,150.74856,25,149.10718,0,160.42567,-1,149.84806
6,0,8.99265,124,1,0,150.74856,38,149.10718,1,160.42567,-1,149.84806
7,0,8.99265,107,1,1,150.74856,28,149.10718,0,160.42567,-1,149.84806
8,0,8.99265,108,1,0,150.74856,46,149.10718,1,160.42567,-1,149.84806
9,0,8.99265,118,1,0,150.74856,40,149.10718,1,160.42567,-1,149.84806
10,0,8.99265,104,1,0,150.74856,45,149.10718,1,160.42567,-1,149.84806
11,0,8.99265,132,1,0,150.74856,20,149.10718,1,160.42567,-1,149.84806
12,0,8.99265,107,1,1,150.74856,24,149.10718,1,160.42567,-1,149.84806
13,0,8.99265,92,1,1,150.74856,22,149.10718,1,160.42567,-1,149.84806
14,0,8.99265,139,1,1,150.74856,10,149.10718,0,160.42567,-1,149.84806
15,0,8.99265,69,1,1,150.74856,40,149.10718,1,160.42567,-1,149.84806
16,0,8.99265,114,1,1,150.74856,25,149.10718,1,160.42567,-1,149.84806
17,0,8.99265,85,1,1,150.74856,46,149.10718,1,160.42567,-1,149.84806
18,0,8.99265,86,1,1,150.74856,17,149.10718,1,160.42567,-1,149.84806
19,0,8.99265,99,1,0,150.74856,46,149.10718,0,160.42567,-1,149.84806
20,0,8.99265,78,1,1,150.74856,26,149.10718,1,160.42567,-1,149.84806
21,0,8.99265,100,1,0,150.74856,0,149.10718,1,160.42567,-1,149.84806
22,0,8.99265,86,1,0,150.74856,1,149.10718,0,160.42567,-1,149.84806
23,0,8.99265,124,1,1,150.74856,4,149.10718,1,160.42567,-1,149.84806
24,0,8.99265,102,1,0,150.74856,10,149.10718,1,160.42567,-1,149.84806
25,0,8.99265,77,1,0,150.74856,34,149.10718,0,160.42567,-1,149.84806
26,0,8.99265,82,1,1,150.74856,2,149.10718,0,160.42567,-1,149.84806
27,0,8.99265,101,1,1,150.74856,3,149.10718,0,160.42567,-1,149.84806
28,0,8.99265,102,1,1,150.74856,46,149.10718,1,160.42567,-1,149.84806
29,0,8.99265,81,1,1,150.74856,17,149.10718,0,160.42567,-1,149.84806
30,0,8.99265,97,1,1,150.74856,12,149.10718,0,160.42567,-1,149.84806
31,0,8.99265,107,1,1,150.74856,7,149.10718,0,160.42567,-1,149.84806
32,0,8.99265,97,1,0,150.74856,4,149.10718,1,160.42567,-1,149.84806
33,0,8.99265,93,1,1,150.74856,15,149.10718,0,160.42567,-1,149.84806
34,0,8.99265,120,1,0,150.74856,8,149.10718,1,160.42567,-1,149.84806
35,0,8.99265,88,1,1,150.74856,10,149.10718,1,160.42567,-1,149.84806
36,0,8.99265,67,1,0,150.74856,34,149.10718,1,160.42567,-1,149.84806
37,0,8.99265,98,1,0,150.74856,20,149.10718,1,160.42567,-1,149.84806
38,0,8.99265,83,1,1,150.74856,13,149.10718,0,160.42567,-1,149.84806
39,0,8.99265,97,1,0,150.74856,22,149.10718,1,160.42567,-1,149.84806
40,0,8.99265,98,1,0,150.74856,22,149.10718,1,160.42567,-1,149.84806
41,0,8.99265,98,1,0,150.74856,9,149.10718,1,160.42567,-1,149.84806
42,0,8.99265,83,1,1,150.74856,27,149.10718,1,160.42567,-1,149.84806
43,0,8.99265,100,1,1,150.74856,4,149.10718,1,160.42567,-1,149.84806
44,0,8.99265,59,1,1,150.74856,5,149.10718,1,160.42567,-1,149.84806
45,0,8.99265,106,1,1,150.74856,6,149.10718,0,160.42567,-1,149.84806
46,0,8.99265,96,1,0,150.74856,23,149.10718,1,160.42567,-1,149.84806
47,0,8.99265,120,1,1,150.74856,6,149.10718,1,160.42567,-1,149.84806
48,0,8.99265,78,1,1,150.74856,18,149.10718,0,160.42567,-1,149.84806
49,0,8.99265,88,1,1,150.74856,43,149.10718,1,160.42567,-1,149.84806
50,0,8.99265,123,1,1,150.74856,5,149.10718,1,160.42567,-1,149.84806
51,0,8.99265,92,1,0,150.74856,34,149.10718,1,160.42567,-1,149.84806
52,0,8.99265,101,1,0,150.74856,37,149.10718,1,160.42567,-1,149.84806
53,0,8.99265,84,1,1,150.74856,16,149.10718,1,160.42567,-1,149.84806
54,0,8.99265,90,1,0,150.74856,31,149.10718,1,160.42567,-1,149.84806
55,0,8.99265,77,1,0,150.74856,25,149.10718,0,160.42567,-1,149.84806
56,0,8.99265,109,1,0,150.74856,47,149.10718,0,160.42567,-1,149.84806
57,0,8.99265,108,1,1,150.74856,25,149.10718,0,160.42567,-1,149.84806
58,0,8.99265,109,1,0,150.74856,41,149.10718,1,160.42567,-1,149.84806
59,0,8.99265,85,1,1,150.74856,1,149.10718,1,160.42567,-1,149.84806
60,0,8.99265,104,1,1,150.74856,8,149.10718,1,160.42567,-1,149.84806
61,0,8.99265,118,1,0,150.74856,24,149.10718,0,160.42567,-1,149.84806
62,0,8.99265,73,1,0,150.74856,15,149.10718,1,160.42567,-1,149.84806
63,0,8.99265,91,1,1,150.74856,7,149.10718,0,160.42567,-1,149.84806
64,0,8.99265,69,1,0,150.74856,0,149.10718,1,160.42567,-1,149.84806
65,0,8.99265,125,1,1,150.74856,46,149.10718,1,160.42567,-1,149.84806
66,0,8.99265,89,1,0,150.74856,38,149.10718,0,160.42567,-1,149.84806
67,0,8.99265,126,1,1,150.74856,43,149.10718,0,160.42567,-1,149.84806
68,0,8.99265,98,1,1,150.74856,25,149.10718,1,160.42567,-1,149.84806
69,0,8.99265,111,1,0,150.74856,39,149.10718,1,160.42567,-1,149.84806
70,0,8.99265,116,1,1,150.74856,15,149.10718,1,160.42567,-1,149.84806
