,time,event0,event1,event2
0,0,0.7147238,3.6219701766967773,-0.7143595814704895
1,1,0.9840148,3.6219701766967773,-0.7143595814704895
2,2,0.51201725,3.6219701766967773,-0.7143595814704895
3,3,-0.20354317,3.6219701766967773,-0.7143595814704895
4,4,0.94115216,3.6219701766967773,-0.7143595814704895
5,5,-0.26727957,3.6219701766967773,-0.7143595814704895
6,6,-0.6484711,3.6219701766967773,-0.7143595814704895
7,7,0.37935162,3.6219701766967773,-0.7143595814704895
8,8,0.4827665,3.6219701766967773,-0.7143595814704895
9,9,0.5944573,3.6219701766967773,-0.7143595814704895
10,10,0.0,3.6219701766967773,-0.7143595814704895
